# ADG 2025 (Australian Deprescribing Guideline 2025) → Wave 3 rule mapping
#
# This CSV is a 20-row themed manifest covering the public ADG 2025
# medication-class deprescribing themes. The full ADG 2025 set is
# ~185 recommendations; the remaining 165 rows are NOT included here
# — they will be filled by the kb-3 Pipeline-2 extraction (Layer 1
# Wave 5 free-alternative path) once Pipeline-2 completes. Until then,
# the recommendation_id column carries TODO(layer1-bind) per row.
#
# Columns:
#   medication_class       — ADG 2025 public medication-class theme
#   recommendation_summary — short description of the deprescribing
#                            recommendation (paraphrased; not a
#                            verbatim citation)
#   evidence_grade         — ADG 2025 evidence grade as published
#                            (or 'TODO' if not in the public summary)
#   wave3_status           — one of {shipped_wave3, queued_wave3,
#                            deferred_wave4, out_of_scope}
#   wave3_rule_id          — Wave 3 rule_id if shipped or queued
#   recommendation_id      — TODO(layer1-bind) until Pipeline-2 emits
#                            real ADG 2025 IDs
#   notes                  — context / dependencies / blockers
#
medication_class,recommendation_summary,evidence_grade,wave3_status,wave3_rule_id,recommendation_id,notes
PPI,"Step down PPI after 8 weeks if no documented GI indication",strong,shipped_wave3,ADG2025_PPI_STEP_DOWN_PROTOCOL,TODO(layer1-bind),Wave 3 Task 3 ships 1 rule covering this theme
Antipsychotic_BPSD,"Review BPSD antipsychotic on 12-week cycle",strong,shipped_wave3,ADG2025_ANTIPSYCHOTIC_BPSD_12W_REVIEW,TODO(layer1-bind),Wave 3 Task 3 ships 1 rule covering this theme; co-fires with WANG_2024_ANTIPSYCHOTIC_DEMENTIA_AU
Statin_primary_prevention,"Consider statin cessation in primary prevention age >75",moderate,queued_wave3,TIER1_STATIN_PALLIATIVE_PRIMARY_PREVENTION,TODO(layer1-bind),Wave 2 Tier 1 already ships palliative-only variant; ADG 2025 expands to non-palliative >75y — queued
Bisphosphonate_long_term,"Consider bisphosphonate cessation after 5 years if low fracture risk",moderate,queued_wave3,TODO,TODO(layer1-bind),Needs duration helper extension; queued
Calcium_supplement,"Cease calcium without osteoporosis indication",weak,queued_wave3,TODO,TODO(layer1-bind),Maps to existing AGS Beers concept; queued
VitaminD_supplement,"Cease vitamin D without deficiency or osteoporosis indication",weak,queued_wave3,TODO,TODO(layer1-bind),Often co-prescribed with calcium; queued
Anticholinergic_burden,"Reduce anticholinergic burden score >3",moderate,shipped_wave3,BEERS_2023_ANTICHOLINERGIC_CHRONIC_USE,TODO(layer1-bind),Wave 3 Task 2 ships first-gen antihistamine slice; ADG 2025 expands to ACB scoring (queued)
Opioid_chronic_non_cancer,"Taper opioid for chronic non-cancer pain",strong,queued_wave3,TODO,TODO(layer1-bind),Schedule 8 routing required (auth_gating); queued
Benzodiazepine_elderly,"Taper benzodiazepine in adults >65y",strong,queued_wave3,TODO,TODO(layer1-bind),Schedule 4 routing; existing Wave 2 BENZODIAZEPINE_BPSD_CONSENT_MISSING handles consent slice only
Z_drug_elderly,"Taper zopiclone/zolpidem in adults >65y",strong,queued_wave3,TODO,TODO(layer1-bind),Often appears with benzodiazepine deprescribing; queued
Antihypertensive_overtreatment,"Reduce antihypertensive if SBP <120 in elderly",moderate,deferred_wave4,TODO,TODO(layer1-bind),Wave 2 Tier 1 ships palliative variant; ADG 2025 non-palliative variant deferred to Wave 4 baseline-aware substrate
SSRI_chronic_no_response,"Taper SSRI after >12 months if no symptom benefit documented",weak,queued_wave3,TODO,TODO(layer1-bind),Needs depression-response observation kind; queued
NSAID_chronic_elderly,"Cease chronic NSAID in elderly",strong,queued_wave3,TODO,TODO(layer1-bind),AKI risk overlap with Wave 2 AKI rules
Diuretic_no_indication,"Cease diuretic if no heart-failure or hypertension indication",moderate,queued_wave3,TODO,TODO(layer1-bind),Often paired with antihypertensive review
Cholinesterase_inhibitor_advanced_dementia,"Cease cholinesterase inhibitor in advanced dementia",moderate,queued_wave3,TODO,TODO(layer1-bind),Needs dementia-stage substrate
Memantine_advanced_dementia,"Cease memantine in advanced dementia",moderate,queued_wave3,TODO,TODO(layer1-bind),Pairs with cholinesterase-inhibitor rule
Antidiabetic_intensive,"Relax HbA1c target in elderly; deprescribe sulfonylurea",strong,queued_wave3,TODO,TODO(layer1-bind),Hypoglycaemia risk; partial overlap with Wave 2 insulin rules
Inhaled_corticosteroid_no_COPD,"Cease ICS in COPD without exacerbations",moderate,queued_wave3,TODO,TODO(layer1-bind),Needs COPD-exacerbation observation kind
Iron_supplement,"Cease iron after replenishment confirmed",weak,queued_wave3,TODO,TODO(layer1-bind),Needs ferritin/Hb baseline-aware substrate
Multivitamin_no_indication,"Cease multivitamin without documented indication",weak,out_of_scope,N/A,N/A,Out of scope: Wave 3 limited to medications with measurable harm
