drug_name,fact_type,extraction_method,condition,severity,frequency,interactant,clinical_effect,management
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,Sildenafil,Hypotension,Monitor for hypotension
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,Tacrolimus,Amlodipine may increase the systemic exposure of tacrolimus,Frequent monitoring of trough blood levels of tacrolimus is recommended and adjust the dose when appropriate
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,Simvastatin,Increases the systemic exposure of simvastatin,Limit the dose of simvastatin in patients on amlodipine to 20 mg daily
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,CYP3A inhibitors (moderate and strong),Increased systemic exposure to amlodipine,"Monitor for symptoms of hypotension and edema, may require dose reduction"
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,Cyclosporine,Amlodipine may increase the systemic exposure of cyclosporine,Frequent monitoring of trough blood levels of cyclosporine is recommended and adjust the dose when appropriate
amlodipine,INTERACTION,LLM_FALLBACK,,MODERATE,,CYP3A inducers,Unknown quantitative effects on amlodipine,Blood pressure should be closely monitored
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Rigors,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Rash,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Pruritus,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Erythema multiforme,HIGH,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Angioedema,HIGH,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Epistaxis,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Weight increased,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Weight decreased,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Arthralgia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Arthrosis,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Dyspnoea,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Depersonalisation,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Anxiety,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Muscle cramps,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Myalgia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Vision blurred,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Insomnia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Abnormal dreams,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Depression,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Nervousness,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Sexual dysfunction,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Rash maculopapular,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Rash erythematous,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Hot flush,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Malaise,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Pain,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Nausea,MEDIUM,2.9%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Palpitations,MEDIUM,0.7-4.5%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Fatigue,MEDIUM,4.5%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Edema,MEDIUM,1.8-10.8%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Dizziness,MEDIUM,1.1-3.4%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Flushing,MEDIUM,0.7-2.6%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Extrapyramidal disorder,MEDIUM,,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Hepatic enzyme increased,HIGH,,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Abdominal pain,MEDIUM,1.6%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Somnolence,MEDIUM,1.4%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Arrhythmia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Bradycardia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Jaundice,HIGH,,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Gynecomastia,MEDIUM,infrequently,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Peripheral edema,MEDIUM,most common,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Thrombocytopenia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Chest pain,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Syncope,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Tachycardia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Vasculitis,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Purpura,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Leukopenia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Thirst,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Hypoesthesia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Neuropathy peripheral,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Paraesthesia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Tremor,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Hyperglycaemia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Sweating increased,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Dry mouth,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Vertigo,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Anorexia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Constipation,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Dysphagia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Nocturia,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Micturition disorder,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Micturition frequency,MEDIUM,<1% but >0.1%,,,
amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,Diarrhoea,MEDIUM,<1% but >0.1%,,,
